Date,State,TotalSamples,Negative,Positive
2020-04-17,Andaman and Nicobar Islands,1403.0,1210,12.0
2020-04-24,Andaman and Nicobar Islands,2679.0,,27.0
2020-04-27,Andaman and Nicobar Islands,2848.0,,33.0
2020-05-01,Andaman and Nicobar Islands,3754.0,,33.0
2020-05-16,Andaman and Nicobar Islands,6677.0,,33.0
2020-05-19,Andaman and Nicobar Islands,6965.0,,33.0
2020-05-20,Andaman and Nicobar Islands,7082.0,,33.0
2020-05-21,Andaman and Nicobar Islands,7167.0,,33.0
2020-05-22,Andaman and Nicobar Islands,7263.0,,33.0
2020-05-23,Andaman and Nicobar Islands,7327.0,,33.0
2020-05-24,Andaman and Nicobar Islands,7327.0,,33.0
2020-05-25,Andaman and Nicobar Islands,7363.0,,33.0
2020-05-26,Andaman and Nicobar Islands,7448.0,,33.0
2020-05-27,Andaman and Nicobar Islands,7499.0,,33.0
2020-05-28,Andaman and Nicobar Islands,7519.0,,33.0
2020-05-29,Andaman and Nicobar Islands,7567.0,,33.0
2020-05-30,Andaman and Nicobar Islands,7567.0,,33.0
2020-05-31,Andaman and Nicobar Islands,7706.0,,33.0
2020-06-01,Andaman and Nicobar Islands,7805.0,,33.0
2020-06-02,Andaman and Nicobar Islands,8086.0,,33.0
2020-06-03,Andaman and Nicobar Islands,8295.0,,33.0
2020-06-04,Andaman and Nicobar Islands,8413.0,,33.0
2020-06-05,Andaman and Nicobar Islands,8694.0,,33.0
2020-06-06,Andaman and Nicobar Islands,9037.0,,33.0
2020-06-07,Andaman and Nicobar Islands,9242.0,,33.0
2020-06-08,Andaman and Nicobar Islands,9341.0,,33.0
2020-06-09,Andaman and Nicobar Islands,9859.0,,33.0
2020-06-10,Andaman and Nicobar Islands,10010.0,,35.0
2020-06-11,Andaman and Nicobar Islands,10226.0,,38.0
2020-06-12,Andaman and Nicobar Islands,10697.0,,38.0
2020-06-13,Andaman and Nicobar Islands,10955.0,,38.0
2020-06-14,Andaman and Nicobar Islands,11356.0,,38.0
2020-06-15,Andaman and Nicobar Islands,11518.0,,41.0
2020-06-16,Andaman and Nicobar Islands,11809.0,,44.0
2020-06-17,Andaman and Nicobar Islands,12239.0,,44.0
2020-06-18,Andaman and Nicobar Islands,12622.0,,45.0
2020-06-19,Andaman and Nicobar Islands,12930.0,,47.0
2020-06-20,Andaman and Nicobar Islands,13320.0,,47.0
2020-06-21,Andaman and Nicobar Islands,13434.0,,48.0
2020-06-22,Andaman and Nicobar Islands,13511.0,,48.0
2020-06-23,Andaman and Nicobar Islands,13723.0,,50.0
2020-06-24,Andaman and Nicobar Islands,13994.0,,56.0
2020-06-25,Andaman and Nicobar Islands,14277.0,,59.0
2020-06-26,Andaman and Nicobar Islands,14583.0,,72.0
2020-06-27,Andaman and Nicobar Islands,14851.0,,73.0
2020-06-28,Andaman and Nicobar Islands,15094.0,,83.0
2020-06-29,Andaman and Nicobar Islands,15410.0,,90.0
