index	album	song_title	lyric	line_number	release_date
0	Lover	Lover 	[Verse 1]	0	2019-08-16
0	Lover	Lover 	We could leave the Christmas lights up 'til January	1	2019-08-16
0	Lover	Lover 	And this is our place, we make the rules	2	2019-08-16
0	Lover	Lover 	And there's a dazzling haze, a mysterious way about you, dear	3	2019-08-16
0	Lover	Lover 	Have I known you 20 seconds or 20 years?	4	2019-08-16
0	Lover	Lover 	[Chorus]	5	2019-08-16
0	Lover	Lover 	Can I go where you go?	6	2019-08-16
0	Lover	Lover 	Can we always be this close?	7	2019-08-16
0	Lover	Lover 	Forever and ever, ah	8	2019-08-16
0	Lover	Lover 	Take me out, and take me home	9	2019-08-16
0	Lover	Lover 	You're my, my, my, my lover	10	2019-08-16
0	Lover	Lover 	[Verse 2]	11	2019-08-16
0	Lover	Lover 	We could let our friends crash in the living room	12	2019-08-16
0	Lover	Lover 	This is our place, we make the call	13	2019-08-16
0	Lover	Lover 	And I'm highly suspicious that everyone who sees you wants you	14	2019-08-16
0	Lover	Lover 	I've loved you three summers now, honey, but I want 'em all	15	2019-08-16
0	Lover	Lover 	[Chorus]	16	2019-08-16
0	Lover	Lover 	Can I go where you go?	17	2019-08-16
0	Lover	Lover 	Can we always be this close?	18	2019-08-16
0	Lover	Lover 	Forever and ever, ah	19	2019-08-16
0	Lover	Lover 	Take me out, and take me home (Forever and ever)	20	2019-08-16
0	Lover	Lover 	You're my, my, my, my lover	21	2019-08-16
0	Lover	Lover 	[Bridge]	22	2019-08-16
0	Lover	Lover 	Ladies and gentlemen, will you please stand?	23	2019-08-16
0	Lover	Lover 	With every guitar string scar on my hand	24	2019-08-16
0	Lover	Lover 	I take this magnetic force of a man to be my lover	25	2019-08-16
0	Lover	Lover 	My heart's been borrowed and yours has been blue	26	2019-08-16
0	Lover	Lover 	All's well that ends well to end up with you	27	2019-08-16
0	Lover	Lover 	Swear to be overdramatic and true to my lover	28	2019-08-16
0	Lover	Lover 	And you'll save all your dirtiest jokes for me	29	2019-08-16
0	Lover	Lover 	And at every table, I'll save you a seat, lover	30	2019-08-16
0	Lover	Lover 	[Chorus]	31	2019-08-16
0	Lover	Lover 	Can I go where you go?	32	2019-08-16
0	Lover	Lover 	Can we always be this close?	33	2019-08-16
0	Lover	Lover 	Forever and ever, ah	34	2019-08-16
0	Lover	Lover 	Take me out, and take me home (Forever and ever)	35	2019-08-16
0	Lover	Lover 	You're my, my, my, my	36	2019-08-16
0	Lover	Lover 	Oh, you're my, my, my, my	37	2019-08-16
0	Lover	Lover 	Darling, you're my, my, my, my lover	38	2019-08-16
1	reputation	Look What You Made Me Do 	[Verse 1]	0	2017-08-25
1	reputation	Look What You Made Me Do 	I don't like your little games	1	2017-08-25
1	reputation	Look What You Made Me Do 	Don't like your tilted stage	2	2017-08-25
1	reputation	Look What You Made Me Do 	The role you made me play	3	2017-08-25
1	reputation	Look What You Made Me Do 	Of the fool, no, I don't like you	4	2017-08-25
1	reputation	Look What You Made Me Do 	I don't like your perfect crime	5	2017-08-25
1	reputation	Look What You Made Me Do 	How you laugh when you lie	6	2017-08-25
1	reputation	Look What You Made Me Do 	You said the gun was mine	7	2017-08-25
1	reputation	Look What You Made Me Do 	Isn't cool, no, I don't like you (Oh)	8	2017-08-25
1	reputation	Look What You Made Me Do 	[Pre-Chorus]	9	2017-08-25
1	reputation	Look What You Made Me Do 	But I got smarter, I got harder in the nick of time	10	2017-08-25
1	reputation	Look What You Made Me Do 	Honey, I rose up from the dead, I do it all the time	11	2017-08-25
1	reputation	Look What You Made Me Do 	I've got a list of names and yours is in red, underlined	12	2017-08-25
1	reputation	Look What You Made Me Do 	I check it once, then I check it twice, oh!	13	2017-08-25
1	reputation	Look What You Made Me Do 	[Chorus]	14	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	15	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you made me do	16	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me do	17	2017-08-25
1	reputation	Look What You Made Me Do 	Look what you just made me—	18	2017-08-25
1	reputation	Look What You Made Me Do 	Ooh, look what you made me do	19	2017-08-25
